,A,B,P,DA,MA,MC,PA,SC,SK,Age_range,Playable,Sexualization,Romantic_Interest,Is_Female
342,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
343,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
344,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
345,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
346,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
347,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
348,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
349,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
350,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
351,0,0,1,0,0,0,1,0,0,5,1,0,1.0,0
352,0,0,1,0,0,0,1,0,0,5,1,0,1.0,1
353,0,0,1,0,0,1,0,0,0,2,0,0,0.0,1
354,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
355,0,1,0,0,0,0,1,0,0,0,1,0,0.0,1
356,0,1,0,0,0,0,1,0,0,0,1,0,0.0,1
357,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
358,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
359,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1
360,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
361,0,1,0,0,0,0,0,1,0,2,0,0,0.0,0
362,0,1,0,0,0,0,0,1,0,3,0,0,0.0,1
363,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
364,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0
365,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1
366,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1
367,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
368,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0
369,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
370,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0
371,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
372,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
373,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
374,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
375,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
376,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
377,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
378,0,0,1,0,0,1,0,0,0,7,1,0,0.5,0
379,0,0,1,0,0,1,0,0,0,3,1,0,0.5,1
380,0,0,1,0,0,1,0,0,0,0,1,2,0.5,1
381,0,0,1,0,0,1,0,0,0,0,1,0,0.5,0
382,0,0,1,0,0,1,0,0,0,5,1,0,0.5,0
383,0,0,1,0,0,1,0,0,0,3,1,0,0.5,1
384,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
385,0,1,0,0,0,0,0,1,0,5,0,0,0.0,0
386,0,1,0,0,0,1,0,0,0,5,1,0,0.5,0
387,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
388,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
389,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
390,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
391,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
392,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
393,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
394,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
395,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
396,0,0,1,1,0,0,0,0,0,5,0,0,0.0,0
397,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
398,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
399,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
400,0,0,1,1,0,0,0,0,0,0,0,2,0.0,1
401,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
402,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
403,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
404,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
405,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
406,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
407,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0
408,0,0,1,0,0,1,0,0,0,0,0,1,1.0,1
409,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
410,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
411,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
412,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
413,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
414,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
415,0,0,1,0,0,1,0,0,0,5,1,0,0.5,0
416,0,0,1,0,0,1,0,0,0,5,1,0,0.5,1
417,0,0,1,0,0,1,0,0,0,5,1,0,0.5,0
418,0,0,1,0,0,1,0,0,0,5,1,0,0.5,0
419,0,0,1,0,0,1,0,0,0,5,1,0,0.5,0
420,0,0,1,0,0,1,0,0,0,5,1,0,0.5,1
421,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
422,0,0,1,1,0,0,0,0,0,2,0,1,0.0,0
423,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
424,1,0,0,0,0,1,0,0,0,7,0,0,0.0,0
425,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
426,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
427,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
428,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
429,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
